week_end_date,effective_from_date,weekly_open,weekly_high,weekly_low,weekly_close,smma_5,atr_14,previous_10_week_low,previous_market_state,market_state,buy_allowed,force_exit_all,cancel_pending_buys,below_lower_count,lower_band,upper_band,transition,reason
2023-03-03,2023-03-06,17428.6,17644.8,17255.2,17594.3,17785.267725796875,463.2784991721593,17353.4,OFF,OFF,False,False,False,0,17553.628476210797,17854.7595006727,NONE,NO_CHANGE
2023-03-10,2023-03-13,17680.3,17799.9,17324.3,17412.9,17710.7941806375,464.15860637414806,17255.2,OFF,OFF,False,False,False,1,17478.714877450424,17780.41797159362,NONE,NO_CHANGE
2023-03-17,2023-03-20,17421.9,17529.9,16850.2,17100.1,17588.655344509996,479.5544202045661,17255.2,OFF,OFF,False,True,True,2,17348.878134407714,17660.58850754068,NONE,EMERGENCY_10_WEEK_LOW_BREAK
2023-03-24,2023-03-27,17066.6,17207.2,16828.3,16945.1,17459.944275607995,472.36481876138294,16850.2,OFF,OFF,False,True,False,3,17223.761866227305,17530.798998422204,NONE,CONFIRMED_LOWER_BAND_BREAK
2023-03-31,2023-04-03,16984.3,17381.6,16913.8,17359.8,17439.915420486395,472.038760278427,16828.3,OFF,OFF,False,False,False,0,17203.896040347183,17510.72123452816,NONE,NO_CHANGE
2023-04-06,2023-04-10,17427.9,17638.7,17312.8,17599.2,17471.772336389116,461.60027740139657,16828.3,OFF,ON,True,False,False,0,17240.972197688418,17541.012377999326,OFF_TO_ON,UPPER_BAND_RECLAIM
2023-04-13,2023-04-17,17634.9,17842.2,17597.9,17828.0,17543.017869111292,446.07882901558247,16828.3,ON,ON,True,False,False,0,17319.9784546035,17609.92969346363,NONE,NO_CHANGE
2023-04-21,2023-04-24,17863.0,17863.0,17553.9,17624.1,17559.234295289032,436.2946269430408,16828.3,ON,ON,True,False,False,0,17341.086981817512,17624.678489330487,NONE,NO_CHANGE
2023-04-28,2023-05-02,17707.6,18089.2,17612.5,18065.0,17660.387436231227,439.18072501853794,16828.3,ON,ON,True,False,False,0,17440.79707372196,17726.26454498401,NONE,NO_CHANGE
2023-05-05,2023-05-08,18124.8,18267.4,18042.4,18069.0,17742.10994898498,423.88210180292805,16828.3,ON,ON,True,False,False,0,17530.168898083517,17805.69226425542,NONE,NO_CHANGE
2023-05-12,2023-05-15,18120.6,18389.7,18100.3,18314.8,17856.647959187983,416.5119516741475,16828.3,ON,ON,True,False,False,0,17648.39198335091,17919.124751939107,NONE,NO_CHANGE
2023-05-19,2023-05-22,18339.3,18458.9,18060.4,18203.4,17925.998367350385,415.22538369742267,16828.3,ON,ON,True,False,False,0,17718.385675501675,17988.282174904998,NONE,NO_CHANGE
2023-05-26,2023-05-29,18201.1,18508.6,18178.8,18499.3,18040.65869388031,409.12357057617817,16828.3,ON,ON,True,False,False,0,17836.09690859222,18102.027229466734,NONE,NO_CHANGE
2023-06-02,2023-06-05,18619.2,18662.4,18464.6,18534.1,18139.346955104247,394.02902982073704,16828.3,ON,ON,True,False,False,0,17942.332440193877,18198.45130957736,NONE,NO_CHANGE
2023-06-09,2023-06-12,18612.0,18777.9,18531.6,18563.4,18224.157564083398,383.47695626211316,16913.8,ON,ON,True,False,False,0,18032.41908595234,18281.679107522716,NONE,NO_CHANGE
2023-06-16,2023-06-19,18595.1,18864.7,18559.8,18826.0,18344.52605126672,377.86431652910517,17312.8,ON,ON,True,False,False,0,18155.593893002166,18401.205698746086,NONE,NO_CHANGE
2023-06-23,2023-06-26,18873.3,18886.6,18647.1,18665.5,18408.720841013375,367.98115106274054,17553.9,ON,ON,True,False,False,0,18224.730265482005,18463.91801367279,NONE,NO_CHANGE
2023-06-30,2023-07-03,18682.3,19201.7,18646.7,19189.1,18564.796672810702,381.3396402725448,17553.9,ON,ON,True,False,False,0,18374.12685267443,18621.997618851583,NONE,NO_CHANGE
2023-07-07,2023-07-10,19246.5,19523.6,19234.4,19331.8,18718.197338248563,377.99395168164875,17612.5,ON,ON,True,False,False,0,18529.200362407737,18774.89643100081,NONE,NO_CHANGE
2023-07-14,2023-07-17,19400.3,19595.3,19327.1,19564.5,18887.45787059885,370.15152656153106,18042.4,ON,ON,True,False,False,0,18702.382107318084,18942.98059958308,NONE,NO_CHANGE
2023-07-21,2023-07-24,19612.2,19991.8,19562.9,19745.0,19058.96629647908,374.3478460928501,18060.4,ON,ON,True,False,False,0,18871.792373432654,19115.11847339301,NONE,NO_CHANGE
2023-07-28,2023-07-31,19748.4,19867.6,19563.1,19646.1,19176.39303718326,369.35871422907513,18060.4,ON,ON,True,False,False,0,18991.713680068722,19231.79684431762,NONE,NO_CHANGE
2023-08-04,2023-08-07,19666.3,19795.6,19296.4,19517.0,19244.51442974661,378.633091784141,18178.8,ON,ON,True,False,False,0,19055.19788385454,19301.30939351423,NONE,NO_CHANGE
2023-08-11,2023-08-14,19576.8,19645.5,19412.8,19428.3,19281.271543797287,368.2092995138452,18464.6,ON,ON,True,False,False,0,19097.166894040365,19336.502938724363,NONE,NO_CHANGE
2023-08-18,2023-08-21,19383.9,19482.8,19253.6,19310.2,19287.057235037828,358.28006383428493,18531.6,ON,ON,True,False,False,0,19107.917203120687,19340.799244612972,NONE,NO_CHANGE
2023-08-25,2023-08-28,19320.7,19584.4,19229.7,19265.8,19282.805788030262,358.02434498897895,18559.8,ON,ON,True,False,False,0,19103.79361553577,19336.50943977861,NONE,NO_CHANGE
2023-09-01,2023-09-04,19298.3,19458.6,19223.7,19435.3,19313.30463042421,349.22974891833746,18646.7,ON,ON,True,False,False,0,19138.68975596504,19365.68909276196,NONE,NO_CHANGE
2023-09-08,2023-09-11,19525.1,19867.2,19432.8,19819.9,19414.623704339367,355.31333828131346,18646.7,ON,ON,True,False,False,0,19236.96703519871,19467.920705081564,NONE,NO_CHANGE
2023-09-15,2023-09-18,19890.0,20222.4,19865.3,20192.3,19570.158963471495,358.68381411836253,19223.7,ON,ON,True,False,False,0,19390.817056412314,19623.96153558925,NONE,NO_CHANGE
2023-09-22,2023-09-25,20155.9,20195.3,19657.5,19674.2,19590.967170777196,371.4778273956223,19223.7,ON,ON,True,False,False,0,19405.228257079383,19646.68884488654,NONE,NO_CHANGE
2023-09-29,2023-10-03,19678.2,19766.7,19492.1,19638.3,19600.43373662176,364.5579825816494,19223.7,ON,ON,True,False,False,0,19418.154745330932,19655.117434009007,NONE,NO_CHANGE
2023-10-06,2023-10-09,19622.4,19675.8,19333.6,19653.5,19611.046989297407,362.9609838258174,19223.7,ON,ON,True,False,False,0,19429.566497384498,19665.49113687128,NONE,NO_CHANGE
2023-10-13,2023-10-16,19539.4,19843.3,19480.5,19751.1,19639.057591437926,362.9494849811161,19223.7,ON,ON,True,False,False,0,19457.582848947368,19693.500014185094,NONE,NO_CHANGE
2023-10-20,2023-10-23,19737.2,19849.8,19512.3,19542.7,19619.78607315034,361.1316646253221,19223.7,ON,ON,True,False,False,0,19439.220240837676,19673.95582284414,NONE,NO_CHANGE
2023-10-27,2023-10-30,19521.6,19556.8,18837.8,19047.2,19505.26885852027,386.69368858065627,19223.7,ON,OFF,False,True,True,1,19311.922014229942,19563.27291180737,ON_TO_OFF,EMERGENCY_10_WEEK_LOW_BREAK
2023-11-03,2023-11-06,19053.4,19276.2,18940.0,19230.6,19450.335086816216,383.08699653918086,18837.8,OFF,OFF,False,True,False,2,19258.791588546625,19507.798136297093,NONE,CONFIRMED_LOWER_BAND_BREAK
2023-11-10,2023-11-12,19345.8,19464.4,19309.7,19425.3,19445.328069452975,372.4236396435253,18837.8,OFF,OFF,False,False,False,0,19259.116249631214,19501.191615399504,NONE,NO_CHANGE
2023-11-17,2023-11-20,19547.2,19875.2,19414.8,19731.8,19502.62245556238,378.7076653832736,18837.8,OFF,ON,True,False,False,0,19313.268622870746,19559.42860536987,OFF_TO_ON,UPPER_BAND_RECLAIM
2023-11-24,2023-11-28,19731.2,19875.2,19670.5,19794.7,19561.037964449904,366.2785464273255,18837.8,ON,ON,True,False,False,0,19377.89869123624,19615.979746414003,NONE,NO_CHANGE
2023-12-01,2023-12-04,19844.7,20291.6,19800.0,20267.9,19702.410371559923,375.608650253945,18837.8,ON,ON,True,False,False,0,19514.60604643295,19758.751669098016,NONE,NO_CHANGE
2023-12-08,2023-12-11,20601.9,21006.1,20507.8,20969.4,19955.80829724794,401.50803237866296,18837.8,ON,ON,True,False,False,0,19755.05428105861,20016.03450210474,NONE,NO_CHANGE
2023-12-15,2023-12-18,20965.3,21492.3,20769.5,21456.7,20255.98663779835,424.4574586373298,18837.8,ON,ON,True,False,False,0,20043.757908479685,20319.65525659395,NONE,NO_CHANGE
2023-12-22,2023-12-26,21434.8,21593.0,20976.8,21349.4,20474.669310238678,438.1533544489492,18837.8,ON,ON,True,False,False,0,20255.592633014203,20540.39231340602,NONE,NO_CHANGE
2023-12-29,2024-01-01,21365.2,21801.4,21329.4,21731.4,20726.01544819094,440.57097198830996,18837.8,ON,ON,True,False,False,0,20505.729962196787,20792.10109398919,NONE,NO_CHANGE
2024-01-05,2024-01-08,21727.8,21834.3,21500.3,21710.8,20922.972358552754,432.95875970343064,18837.8,ON,ON,True,False,False,0,20706.492978701037,20987.916172508267,NONE,NO_CHANGE
2024-01-12,2024-01-15,21747.6,21928.2,21448.7,21894.6,21117.297886842203,436.28313401032847,18940.0,ON,ON,True,False,False,0,20899.15631983704,21182.740356943752,NONE,NO_CHANGE
2024-01-19,2024-01-20,22053.2,22124.2,21285.6,21622.4,21218.318309473765,465.02005300959087,19309.7,ON,ON,True,False,False,0,20985.80828296897,21288.071317425205,NONE,NO_CHANGE
2024-01-25,2024-01-29,21706.2,21750.2,21137.2,21352.6,21245.17464757901,475.59004922319156,19414.8,ON,ON,True,False,False,0,21007.379622967415,21316.51315496249,NONE,NO_CHANGE
2024-02-02,2024-02-05,21433.1,22126.8,21429.6,21853.8,21366.899718063207,496.91933142153505,19670.5,ON,ON,True,False,False,0,21118.44005235244,21441.43761777644,NONE,NO_CHANGE
2024-02-09,2024-02-12,21921.1,22053.3,21629.9,21782.5,21450.019774450564,491.6679506057109,19800.0,ON,ON,True,False,False,0,21204.185799147708,21523.769967041422,NONE,NO_CHANGE
2024-02-16,2024-02-19,21800.8,22068.7,21530.2,22040.7,21568.155819560452,495.0130969910173,20507.8,ON,ON,True,False,False,0,21320.649271064944,21642.407784109106,NONE,NO_CHANGE
2024-02-23,2024-02-26,22103.45,22297.5,21875.25,22212.7,21697.064655648363,489.81573292023035,20769.5,ON,ON,True,False,False,0,21452.156789188248,21770.537015586397,NONE,NO_CHANGE
2024-03-01,2024-03-02,22169.2,22353.3,21860.65,22338.75,21825.40172451869,490.01818056878517,20976.8,ON,ON,True,False,False,0,21580.3926342343,21898.90445160401,NONE,NO_CHANGE
2024-03-07,2024-03-11,22406.95,22525.65,22224.35,22493.55,21959.031379614953,476.53831052815787,21137.2,ON,ON,True,False,False,0,21720.762224350874,22030.512126194175,NONE,NO_CHANGE
2024-03-15,2024-03-18,22517.5,22526.6,21905.65,22023.35,21971.89510369196,486.8534312047178,21137.2,ON,ON,True,False,False,0,21728.4683880896,22044.92311837267,NONE,NO_CHANGE
2024-03-22,2024-03-26,21990.1,22180.7,21710.2,22096.75,21996.86608295357,485.68532897580945,21137.2,ON,ON,True,False,False,0,21754.023418465666,22069.71888229994,NONE,NO_CHANGE
2024-03-28,2024-04-01,21947.9,22516.0,21947.55,22326.9,22062.872866362857,491.5970911918231,21137.2,ON,ON,True,False,False,0,21817.074320766944,22136.61243004163,NONE,NO_CHANGE
2024-04-05,2024-04-08,22455.0,22619.0,22303.8,22513.7,22153.038293090285,478.9972989638358,21137.2,ON,ON,True,False,False,0,21913.53964360837,22224.88788793486,NONE,NO_CHANGE
2024-04-12,2024-04-15,22578.35,22775.7,22503.75,22519.4,22226.310634472226,464.20820618070474,21429.6,ON,ON,True,False,False,0,21994.206531381875,22295.94186539933,NONE,NO_CHANGE
2024-04-19,2024-04-22,22339.05,22427.45,21777.65,22147.0,22210.44850757778,484.0326200249401,21530.2,ON,ON,True,False,False,0,21968.43219756531,22283.05340058152,NONE,NO_CHANGE
2024-04-26,2024-04-29,22336.9,22625.95,22198.15,22419.95,22252.348806062226,483.66957573744446,21530.2,ON,ON,True,False,False,0,22010.514018193502,22324.89924242284,NONE,NO_CHANGE
2024-05-03,2024-05-06,22475.55,22794.7,22348.05,22475.85,22297.04904484978,481.02532032762707,21710.2,ON,ON,True,False,False,0,22056.536384685965,22369.202842898925,NONE,NO_CHANGE
2024-05-10,2024-05-13,22561.6,22588.8,21932.4,22055.2,22248.679235879823,493.5520831613679,21710.2,ON,ON,True,False,False,0,22001.90319429914,22322.712048354028,NONE,NO_CHANGE
2024-05-17,2024-05-18,22027.95,22502.15,21821.05,22466.1,22292.163388703855,506.948362935556,21710.2,ON,ON,True,False,False,0,22038.68920723608,22368.20564314419,NONE,NO_CHANGE
2024-05-24,2024-05-27,22512.85,23026.4,22404.55,22957.1,22425.150710963084,515.1556227258736,21710.2,ON,ON,True,False,False,0,22167.572899600145,22502.424054371964,NONE,NO_CHANGE
2024-05-31,2024-06-03,23038.95,23110.8,22417.0,22530.7,22446.260568770467,527.9159353883111,21710.2,ON,ON,True,False,False,0,22182.302601076313,22525.447959078712,NONE,NO_CHANGE
2024-06-07,2024-06-10,23337.9,23338.7,21281.45,23290.15,22615.038455016376,637.1540828605747,21777.65,ON,ON,True,False,False,0,22296.46141358609,22710.611567445463,NONE,NO_CHANGE
2024-06-14,2024-06-18,23319.15,23490.4,23206.65,23465.6,22785.1507640131,611.9109340848194,21281.45,ON,ON,True,False,False,0,22479.195296970687,22876.93740412582,NONE,NO_CHANGE
2024-06-21,2024-06-24,23570.8,23667.1,23398.2,23501.1,22928.34061121048,587.4101530787606,21281.45,ON,ON,True,False,False,0,22634.6355346711,23016.452134172294,NONE,NO_CHANGE
2024-06-28,2024-07-01,23382.3,24174.0,23350.0,24010.6,23144.792488968385,604.3094278588491,21281.45,ON,ON,True,False,False,0,22842.637775038962,23235.438903147213,NONE,NO_CHANGE
2024-07-05,2024-07-08,23992.95,24401.0,23992.7,24323.85,23380.60399117471,590.3087544403598,21281.45,ON,ON,True,False,False,0,23085.44961395453,23469.150304340765,NONE,NO_CHANGE
2024-07-12,2024-07-15,24329.45,24592.2,24141.8,24502.15,23604.91319293977,580.3152719803343,21281.45,ON,ON,True,False,False,0,23314.755556949603,23691.96048373682,NONE,NO_CHANGE
2024-07-19,2024-07-22,24587.6,24854.8,24504.45,24530.9,23790.110554351813,564.0534668388817,21281.45,ON,ON,True,False,False,0,23508.083820932374,23874.718574377646,NONE,NO_CHANGE
2024-07-26,2024-07-29,24445.75,24861.15,24074.2,24834.85,23999.058443481452,579.9746477789616,21281.45,ON,ON,True,False,False,0,23709.071119591972,24086.054640648297,NONE,NO_CHANGE
