week_end_date,effective_from_date,weekly_open,weekly_high,weekly_low,weekly_close,smma_5,atr_14,previous_10_week_low,previous_market_state,market_state,buy_allowed,force_exit_all,cancel_pending_buys,below_lower_count,lower_band,upper_band,transition,reason,action_taken
2025-03-07,2025-03-10,22194.55,22633.8,21964.6,22552.5,22997.890955556995,635.4307171077455,22104.85,OFF,OFF,False,True,False,4,22680.175597003123,23093.205563123156,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2025-03-13,2025-03-17,22521.85,22676.75,22314.7,22397.2,22877.752764445595,615.9035230286208,21964.6,OFF,OFF,False,True,False,5,22569.801002931286,22970.138292899886,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2025-03-21,2025-03-24,22353.15,23402.7,22353.15,23350.4,22972.282211556478,646.8782713837193,21964.6,OFF,ON,True,False,False,0,22648.843075864617,23069.313952264034,OFF_TO_ON,UPPER_BAND_RECLAIM,Allow fresh buy signals
2025-08-01,2025-08-04,24782.45,24956.5,24535.05,24565.35,24868.97426625022,583.6124501932462,24462.4,ON,OFF,False,False,True,1,24577.1680411536,24956.51613377921,ON_TO_OFF,LOWER_BAND_BREAK,Block new purchases and cancel pending buys
2025-08-08,2025-08-11,24596.05,24736.25,24337.5,24363.3,24767.839413000176,570.4079894651571,24473.0,OFF,OFF,False,True,True,2,24482.635418267597,24853.40061141995,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2025-08-22,2025-08-25,24938.2,25153.65,24852.85,24870.1,24766.445224320116,552.6979603041406,24337.5,OFF,ON,True,False,False,0,24490.096244168046,24849.349918365737,OFF_TO_ON,UPPER_BAND_RECLAIM,Allow fresh buy signals
2026-01-09,2026-01-12,26333.7,26373.2,25623.0,25683.3,25932.522852751492,491.8865764592165,25318.45,ON,OFF,False,False,True,1,25686.579564521882,26006.305839220375,ON_TO_OFF,LOWER_BAND_BREAK,Block new purchases and cancel pending buys
2026-01-23,2026-01-27,25653.1,25653.3,24919.8,25048.65,25717.640625760956,507.73332357963034,25449.25,OFF,OFF,False,True,True,1,25463.77396397114,25793.8006242979,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2026-01-30,2026-02-01,25063.35,25458.15,24932.55,25320.65,25638.242500608765,509.009514752514,24919.8,OFF,OFF,False,True,False,2,25383.73774323251,25714.593927821643,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2026-03-06,2026-03-09,24659.25,24989.35,24305.4,24450.45,25306.00184659948,613.4258088352423,24571.75,OFF,OFF,False,True,True,2,24999.288942181858,25398.015717924765,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2026-03-13,2026-03-16,23868.05,24303.8,23112.0,23151.1,24875.021477279584,665.2132510612964,24305.4,OFF,OFF,False,True,True,3,24542.414851748938,24974.803464938777,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2026-03-20,2026-03-23,23116.1,23862.25,22930.35,23114.5,24522.91718182367,684.2623045569183,23112.0,OFF,OFF,False,True,False,4,24180.78602954521,24625.556527507208,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2026-03-27,2026-03-30,22824.35,23465.35,22471.25,22819.6,24182.253745458933,706.3935685171383,22930.35,OFF,OFF,False,True,True,5,23829.056961200364,24288.212780736503,NONE,EMERGENCY_10_WEEK_LOW_BREAK,Force-exit all open positions; block new buys
2026-04-02,2026-04-06,22549.65,22941.3,22182.55,22713.1,23888.422996367146,710.133313623057,22471.25,OFF,OFF,False,True,False,6,23533.356339555616,23994.942993410605,NONE,CONFIRMED_LOWER_BAND_BREAK,Force-exit all open positions; block new buys
2026-04-10,2026-04-13,22780.3,24074.05,22542.95,24050.6,23920.858397093718,768.77379122141,22182.55,OFF,ON,True,False,False,0,23536.471501483014,24036.17446577693,OFF_TO_ON,UPPER_BAND_RECLAIM,Allow fresh buy signals
2026-06-05,2026-06-08,23654.5,23733.7,23151.5,23366.7,23739.015289886553,722.744267517725,22182.55,ON,OFF,False,False,True,1,23377.64315612769,23847.42693001421,ON_TO_OFF,LOWER_BAND_BREAK,Block new purchases and cancel pending buys
2026-06-19,2026-06-22,23984.85,24189.25,23817.8,24013.1,23775.25378552739,701.7871490331402,22542.95,OFF,ON,True,False,False,0,23424.360211010822,23880.521857882362,OFF_TO_ON,UPPER_BAND_RECLAIM,Allow fresh buy signals
