date,market_state,realized_gross,realized_costs,realized_net,unrealized,total_pnl_gross,total_pnl_net,active
2021-02-08,NORMAL,-74938.20461065197,133814.08757466663,-136842.6384599853,-66131.20270832605,-141069.40731897802,-202973.84116831134,7
2021-02-09,NORMAL,-64187.39177603184,134723.54473999995,-126599.98249469863,-65842.72732197554,-130030.11909800739,-192442.70981667418,7
2021-02-10,NORMAL,-58451.57989560641,135391.61327866663,-121126.44225427313,-81701.9747279296,-140153.554623536,-202828.41698220273,7
2021-02-11,NORMAL,-51842.04366620738,135794.19658799996,-114781.22596620748,-59799.84897245935,-111641.89263866673,-174581.07493866683,7
2021-02-12,NORMAL,-46555.98646138204,136338.8983613333,-109627.32873204877,-98457.1294013992,-145013.11586278124,-208084.45813344797,7
2021-02-15,NORMAL,-46555.98646138204,136742.4469586666,-109627.32873204877,-112965.95090254874,-159521.93736393077,-222593.2796345975,7
2021-02-16,NORMAL,-20140.581335963972,137430.63322266663,-83752.85329729752,-120179.42667929558,-140320.00801525955,-203932.2799765931,7
2021-02-17,NORMAL,-14626.985030885844,137943.05198266663,-78495.38372821934,-138519.09892285775,-153146.0839537436,-217014.4826510771,7
2021-02-18,NORMAL,3962.6428842098103,138591.56202799996,-60554.2658584571,-92763.00675834017,-88800.36387413036,-153317.27261679727,6
2021-02-19,NORMAL,6983.729940773068,140270.09674266665,-57900.982495227014,-84713.61857593001,-77729.88863515694,-142614.60107115703,7
2021-02-22,NORMAL,6983.729940773046,141556.06779333332,-57900.982495226956,-188539.97278480482,-181556.24284403177,-246440.95528003178,8
2021-02-23,NORMAL,8343.715466652473,142300.0336733333,-57028.670825347595,-124101.21455491285,-115757.49908826037,-181129.88538026044,8
2021-02-24,NORMAL,10545.854829235526,143299.28478266665,-55440.220385431254,-111472.0180005987,-100926.16317136318,-166912.23838602996,8
2021-02-25,NORMAL,38643.65800082223,144441.61358799998,-28484.746019177896,-55912.458204185095,-17268.800203362865,-84397.20422336299,7
2021-02-26,NORMAL,36240.70068440766,146013.724964,-31135.636866259098,-122044.56638199405,-85803.86569758639,-153180.20324825315,7
2021-03-01,NORMAL,38119.67124683485,147154.936044,-29878.548431831936,-72146.33636047109,-34026.66511363624,-102024.88479230303,7
2021-03-02,NORMAL,43568.31836830329,148189.4014813333,-25190.088313030137,-25233.224685502588,18335.093682800703,-50423.312998532725,7
2021-03-03,NORMAL,52213.93070815346,149211.8186173333,-17428.62974117993,-11382.557926957583,40831.372781195874,-28811.187668137514,7
2021-03-04,NORMAL,62053.24379169655,149873.78375866666,-7983.74826830352,-12432.908700309184,49620.335091387366,-20416.656968612704,7
2021-03-05,NORMAL,62029.888013341864,150811.59262266665,-8131.070811991638,-24093.542409374088,37936.34560396778,-32224.613221365726,7
2021-03-08,NORMAL,76497.72713381,151596.35924133332,5552.001689809898,-24685.848342419544,51811.87879139045,-19133.846652609645,6
2021-03-09,NORMAL,92059.08511979162,152537.34772133332,20698.445051791554,-75475.21500840294,16583.87011138868,-54776.76995661139,5
2021-03-10,NORMAL,89983.7146209035,153139.981548,18381.285926236786,-63519.980388397176,26463.734232506322,-45138.69446216039,6
2021-03-12,NORMAL,89572.38961030928,153794.318772,17843.945848975927,-66591.15855094494,22981.23105936435,-48747.21270196901,6
2021-03-15,NORMAL,89284.97933653003,154685.84462266666,17430.52050852996,-81406.25097689641,7878.72835963362,-63975.73046836645,7
2021-03-16,NORMAL,86927.27581322222,155049.55171333332,14709.10989455552,-56049.04351079743,30878.23230242479,-41339.93361624191,7
2021-03-17,NORMAL,86927.27581322234,156144.44580666663,14709.10989455547,-142279.00050180638,-55351.72468858404,-127569.89060725091,8
2021-03-18,NORMAL,86927.27581322234,156784.05171599996,14709.10989455547,-178236.577389897,-91309.30157667465,-163527.46749534152,8
2021-03-19,NORMAL,81952.0145251946,158165.20312133332,8874.274454527796,-118559.44281176018,-36607.428286565584,-109685.16835723238,8
2021-03-22,NORMAL,80465.17831494956,158534.21360933332,7147.697918949445,-92721.38523697908,-12256.206922029523,-85573.68731802964,8
2021-03-23,NORMAL,82226.19137317681,158908.16220666666,8534.762379843305,-76128.20552410666,6097.985849070159,-67593.44314426335,8
2021-03-24,NORMAL,83880.1925890863,159416.884364,9940.83006508628,-114312.43285669602,-30432.24026760971,-104371.60279160974,8
2021-03-25,NORMAL,80959.05539243022,160691.5927853333,6903.919308430079,-189762.97375288737,-108803.91836045714,-182859.0544444573,8
2021-03-26,NORMAL,77862.80309791415,160927.23650799997,3572.0232912474603,-147221.2621234698,-69358.45902555564,-143649.23883222233,8
2021-03-30,NORMAL,89367.90039771114,161559.36014266664,14444.996956377465,-97167.76665483543,-7799.866257124289,-82722.76969845797,8
2021-03-31,NORMAL,88505.3520346444,161681.27860666666,13460.530129310937,-111492.08501372635,-22986.73297908195,-98031.55488441541,8
2021-04-01,NORMAL,88505.3520346444,161681.27860666666,13460.530129310937,-67781.05727286532,20724.294761779078,-54320.527143554384,8
2021-04-05,NORMAL,98345.45823347272,162467.3758013333,23038.36468813935,-113491.8549479906,-15146.39671451789,-90453.49025985126,8
2021-04-06,NORMAL,103849.61230305737,163089.2579293333,27920.636629723886,-93864.99973199714,9984.612571060221,-65944.36310227326,8
2021-04-07,NORMAL,115643.84271148991,163843.300028,38960.82493949,-74702.68838564362,40941.15432584629,-35741.86344615362,7
2021-04-08,NORMAL,123554.89732490786,164103.52336666666,46611.656214241106,-77135.09029567678,46419.80702923107,-30523.434081435676,6
2021-04-09,NORMAL,123554.89732490786,164237.290132,46611.656214241106,-81406.25305355072,42148.64427135713,-34794.59683930962,6
2021-04-12,NORMAL,146854.43693346813,165640.54493466666,69394.84574813483,-191795.72240697706,-44941.285473508935,-122400.87665884223,6
2021-04-13,NORMAL,144188.47131022607,166766.28732933334,66491.18810089279,-142228.95920030941,1959.5121099166572,-75737.77109941663,7
2021-04-15,NORMAL,146112.5552413995,167279.10608933333,68163.2418987327,-161564.89359080134,-15452.338349401834,-93401.65169206864,7
2021-04-16,NORMAL,147490.95607530122,167653.05468666667,69167.69413530125,-141317.65239101488,6173.303684286337,-72149.95825571363,7
2021-04-19,NORMAL,151334.26684237138,168170.976844,72880.89323303799,-179860.1694362443,-28525.902593872917,-106979.2762032063,7
2021-04-20,NORMAL,165211.70191027626,168950.76384666667,86246.07482894286,-175991.05045617075,-10779.348545894492,-89744.97562722789,7
2021-04-22,NORMAL,174816.46753190627,169358.04375866667,95588.56881057282,-157295.46260320008,17521.004928706185,-61706.89379262726,7
2021-04-23,NORMAL,180909.58423718618,171553.51495866667,101173.52864651944,-145122.11155101698,35787.4726861692,-43948.58290449754,8
2021-04-26,NORMAL,182111.51086608943,171927.463556,102001.50667808941,-131563.82922229773,50547.6816437917,-29562.32254420832,8
2021-04-27,NORMAL,181115.62025259732,172551.95927333334,100641.90897393067,-118599.83061710489,62515.78963549243,-17957.921643174224,8
2021-04-28,NORMAL,181569.96203910507,172927.7146653333,100856.5104351051,-103581.25308373015,77988.70895537492,-2724.742648625048,8
2021-04-29,NORMAL,184375.6949660384,173057.82633466666,103532.13169270512,-101004.04625412522,83371.64871191318,2528.085438579903,8
2021-04-30,NORMAL,190787.91613699956,173856.00654266667,109551.96955433293,-131643.30350666834,59144.61263033122,-22091.333952335408,8
2021-05-03,NORMAL,199399.5771886203,174620.85543599998,117659.57033928705,-119285.92890129643,80113.64828732386,-1626.35856200938,7
2021-05-04,NORMAL,201310.4973591093,175147.77079866666,119440.37884044263,-135899.01552998874,65411.481829120545,-16458.63668954611,7
2021-05-05,NORMAL,205942.51999514323,175405.945836,123814.22643914318,-115396.64150387977,90545.87849126346,8417.58493526341,7
2021-05-06,NORMAL,205942.51999514323,175405.945836,123814.22643914318,-79358.05262688326,126584.46736825997,44456.17381225992,7
2021-05-07,NORMAL,208015.09472446697,175649.78276399997,125642.96424046694,-55906.53430032235,152108.5604241446,69736.42994014459,7
2021-05-10,NORMAL,221960.85030313506,176186.615852,139051.88673113508,-22002.877963894352,199957.97233924072,117049.00876724072,6
2021-05-11,NORMAL,226365.40970049443,176446.83919066665,143196.22278982773,-18059.09568209204,208306.3140184024,125137.1271077357,5
2021-05-12,NORMAL,226365.40970049443,176852.63608933333,143196.22278982773,-52533.22943261184,173832.1802678826,90662.99335721589,5
2021-05-14,NORMAL,226365.40970049438,178722.07715599998,143196.22278982776,-78423.47899865484,147941.93070183953,64772.74379117292,7
2021-05-17,NORMAL,228797.41290049456,180369.8880893333,145372.09925382776,-55373.37754339684,173424.03535709772,89998.72171043092,8
2021-05-18,NORMAL,231814.34050193758,181001.1702173333,147887.01488993742,14327.510776969633,246141.8512789072,162214.52566690705,8
2021-05-19,NORMAL,233861.05450927166,181249.10374799996,149685.79536660487,-15822.672870985407,218038.38163828626,133863.12249561946,8
2021-05-20,NORMAL,237746.49398805943,181784.81231599997,153439.07487472595,-16215.965867527819,221530.5281205316,137223.10900719813,8
2021-05-21,NORMAL,238896.19952493135,182038.89075066664,154334.70197693125,41188.39891049669,280084.59843542805,195523.10088742792,8
2021-05-24,NORMAL,244641.37729571594,182685.31098799998,159571.72287838237,45314.397190376505,289955.77448609244,204886.12006875887,8
2021-05-25,NORMAL,250826.8603986214,183210.619556,165494.934341288,65352.36903873665,316179.22943735804,230847.30338002465,8
2021-05-26,NORMAL,260341.9256874567,183737.16963066667,174621.71292345662,69837.28787497696,330179.21356243367,244459.00079843358,8
2021-05-27,NORMAL,272190.54197629774,184399.97627866664,185945.78593229776,88830.22870935283,361020.7706856506,274776.0146416506,8
2021-05-28,NORMAL,281448.23924333253,185021.85840666667,194581.60107133252,110513.94490120906,391962.1841445416,305095.54597254156,8
2021-05-31,NORMAL,293413.3491821671,185542.2635773333,206164.56920750035,136061.85105987973,429475.20024204685,342226.4202673801,7
2021-06-01,NORMAL,292910.52379300044,186697.46933999998,205541.87365566706,131061.25276745096,423971.77656045137,336603.12642311805,8
2021-06-02,NORMAL,295093.6097903798,187238.47451066665,207600.9928877131,116820.18646072998,411913.7962511098,324421.17934844305,8
2021-06-03,NORMAL,327736.7322786132,187913.6124733333,239568.9774132798,125264.69955166275,453001.4318302759,364833.67696494254,8
2021-06-04,NORMAL,344763.245702348,188472.08706799996,256188.76941834783,118337.42135766236,463100.66706001037,374526.19077601016,8
2021-06-07,NORMAL,356264.754863586,188740.50361199997,267421.86203558586,136940.4059704455,493205.1608340315,404362.2680060314,8
2021-06-08,NORMAL,366535.51650989795,189130.83861999997,277302.2886738979,158879.42600711924,525414.9425170172,436181.71468101715,8
2021-06-09,NORMAL,383044.1621664041,189678.87850266663,293528.17967707076,118395.9802998094,501440.14246621344,411924.1599768802,8
2021-06-10,NORMAL,388589.7184559322,190198.64216666666,298823.7541345988,115668.26465873749,504257.9831146697,414492.01879333635,8
2021-06-11,NORMAL,392090.6839721177,190326.70553466663,302196.65628278436,108086.25984072499,500176.9438128427,410282.91612350935,8
2021-06-14,NORMAL,392090.6839721177,190868.5175,302196.65628278436,94390.82794610079,486481.5119182185,396587.48422888515,8
2021-06-15,NORMAL,405448.53864761745,191288.48721999998,315284.04611295083,80426.33348904822,485874.8721366657,395710.37960199907,8
2021-06-16,NORMAL,405448.53864761745,191426.75058799997,315284.04611295083,63458.60785827023,468907.1465058877,378742.65397122107,8
2021-06-17,NORMAL,412137.1626317698,192126.90214,321832.3169211032,30532.227827692754,442669.39045946253,352364.544748796,8
2021-06-18,NORMAL,415368.0629857136,193187.27097466667,324685.172075047,36643.278681376076,452011.34166708967,361328.45075642306,8
2021-06-21,NORMAL,423783.6626529832,193461.83242266663,332826.2102943166,28728.60050134911,452512.2631543323,361554.8107956657,8
2021-06-22,NORMAL,437329.298386044,194235.51602799998,345727.4325847106,38272.70139094759,475601.99977699155,384000.1339756582,8
2021-06-23,NORMAL,445160.2315836868,194913.37777199998,353304.28734768677,27118.991417480764,472279.2230011675,380423.2787651675,8
2021-06-24,NORMAL,457852.7797458172,195336.24409466665,365709.9842538172,16954.6561181579,474807.4358639751,382664.6403719751,7
2021-06-25,NORMAL,474609.2238797548,196166.14882266664,382053.562065088,11577.244331012189,486186.46821076697,393630.8063961002,7
2021-06-28,NORMAL,479061.18755501567,196556.9804333333,386363.1242630156,-3915.0801061782986,475146.10744883737,382448.0441568373,8
2021-06-29,NORMAL,479061.18755501567,197110.0339053333,386363.1242630156,-30914.80328324577,448146.3842717699,355448.3209797698,8
2021-06-30,NORMAL,488149.79686015716,197780.39225199996,395051.1570534905,-28307.08734945621,459842.70951070095,366744.0697040343,8
2021-07-01,NORMAL,488466.8423383795,198321.19742266662,395242.18746504607,-33548.90861852348,454917.93371985597,361693.27884652256,8
2021-07-02,NORMAL,488466.8423383795,198321.19742266662,395242.18746504607,-28940.89693616741,459525.9454022121,366301.2905288787,8
2021-07-05,NORMAL,488539.1375093078,198707.1943213333,395064.5008039746,-22078.421379857406,466460.7161294504,372986.07942411717,8
2021-07-06,NORMAL,489084.0925075627,198984.76256399998,395481.3924342294,-31092.494346977386,457991.59816058533,364388.898087252,8
2021-07-07,NORMAL,489084.0925075627,199404.04927066664,395481.3924342294,-24019.736647314625,465064.3558602481,371461.65578691475,8
2021-07-08,NORMAL,489084.0925075627,199535.56773466666,395481.3924342294,-52820.83650823764,436263.2559993251,342660.55592599174,8
2021-07-09,NORMAL,489311.44380340015,199793.742772,395450.56869273353,-58045.78666121408,431265.6571421861,337404.78203151945,8
2021-07-12,NORMAL,489311.44380340015,199927.5095373333,395450.56869273353,-64987.444762725034,424323.9990406751,330463.1239300085,8
2021-07-13,NORMAL,489311.44380340015,199927.5095373333,395450.56869273353,-54514.29508018261,434797.14872321754,340936.2736125509,8
2021-07-14,NORMAL,489311.44380340015,200063.52460399998,395450.56869273353,-51872.21352742621,437439.2302759739,343578.3551653073,8
2021-07-15,NORMAL,491569.0157065615,200468.19772133333,397303.46747856156,-43743.31185897911,447825.7038475824,353560.15561958245,8
2021-07-16,NORMAL,493866.23003205983,200762.35237466666,399458.2803267265,-25084.828354929545,468781.40167713026,374373.4519717969,8
2021-07-19,NORMAL,493866.23003205983,200896.11914,399458.2803267265,-39317.570802437636,454548.6592296222,360140.7095242889,8
2021-07-20,NORMAL,493866.23003205983,201290.67453199998,399458.2803267265,-69830.10216560829,424036.1278664515,329628.1781611182,8
2021-07-22,NORMAL,506465.2121169795,202369.59580399998,411130.0943156462,-27267.21668214316,479197.99543483637,383862.87763350306,7
2021-07-23,NORMAL,509979.20990617166,203000.2364253333,414274.2401101716,-8423.940938888816,501555.26896728284,405850.2991712828,7
2021-07-26,NORMAL,511126.03759412747,203388.08162533332,415166.9893634607,-24564.04551293599,486561.9920811915,390602.9438505247,7
2021-07-27,NORMAL,511126.03759412747,203916.40378266663,415166.9893634607,-60239.62056772306,450886.4170264044,354927.3687957376,7
2021-07-28,NORMAL,517446.6211726811,204560.94100666663,421237.5911100145,-90194.69707728823,427251.92409539287,331042.89403272624,7
2021-07-29,NORMAL,517446.6211726811,204823.97793466665,421237.5911100145,-120069.249102053,397377.3720706281,301168.3420079615,7
2021-07-30,NORMAL,515785.65357761947,205077.61486266664,419456.75335228606,-120626.9408208974,395158.71275672206,298829.81253138866,7
2021-08-02,NORMAL,515785.65357761947,205077.61486266664,419456.75335228606,-62443.74315416458,453341.9104234549,357013.0101981215,7
2021-08-03,NORMAL,523053.5398424674,205703.59359333332,426098.66088646743,-19959.453456160787,503094.0863863066,406139.20743030665,7
2021-08-04,NORMAL,525094.4537400439,206599.15415599998,427511.54775204393,-9185.325850584952,515909.12788945896,418326.221901459,7
2021-08-05,NORMAL,539076.0473371509,207241.51929733332,440850.7762078175,-1442.8374021966883,537633.2099349542,439407.93880562077,6
2021-08-06,NORMAL,539076.0473371509,207373.0377613333,440850.7762078175,5940.570453566848,545016.6177907177,446791.34666138433,6
2021-08-09,NORMAL,540081.7464087558,207630.77129199996,441732.50851408916,453.16263162868563,540534.9090403845,442185.67114571785,6
2021-08-10,NORMAL,543542.4686763082,207896.69802799998,445061.0708109748,-22279.18024719393,521263.28842911427,422781.8905637809,6
2021-08-11,NORMAL,543542.4686763082,208037.2096973333,445061.0708109748,-20720.472961263556,522821.9957150446,424340.59784971125,6
2021-08-12,NORMAL,545881.5010812464,208296.99152933332,447274.0881492464,-25143.19196943668,520738.3091118097,422130.8961798097,6
2021-08-13,NORMAL,546332.9994361515,208420.95829466663,447601.61973881815,-3370.895159883512,542962.1042762679,444230.7245789346,6
2021-08-16,NORMAL,549749.3664607926,208928.2736573333,450639.94156345935,-1623.2449487923295,548126.1215120002,449016.696614667,6
2021-08-17,NORMAL,550755.0246712366,209056.3370253333,451517.5364059033,1352.0394949393522,552107.064166176,452869.57590084267,6
2021-08-18,NORMAL,550755.0246712366,209056.3370253333,451517.5364059033,-21042.825981524365,529712.1986897122,430474.7104243789,6
2021-08-20,NORMAL,550755.0246712366,209734.1640573333,451517.5364059033,-59765.74745737322,490989.27721386345,391751.7889485301,6
2021-08-23,NORMAL,550755.0246712366,209999.44928666664,451517.5364059033,-69192.51011417579,481562.51455706084,382325.0262917275,6
2021-08-24,NORMAL,552973.4906683948,210380.94958266662,453486.0205710615,-67880.7870470885,485092.70362130634,385605.23352397303,6
2021-08-25,NORMAL,552778.0387568218,210633.98651066664,453164.5535928217,-68361.01290181422,484417.0258550076,384803.5406910075,6
2021-08-26,NORMAL,556887.7689200941,212262.69404666667,457018.15702009416,-70730.12534398885,486157.64357610524,386288.03167610534,7
2021-08-27,NORMAL,556887.7689200941,212262.69404666667,457018.15702009416,-45873.6050961226,511014.1638239715,411144.55192397156,7
2021-08-30,NORMAL,564325.1865172524,212646.88415066665,464071.38451325236,395.83403400758107,564721.02055126,464467.2185472599,7
2021-08-31,NORMAL,570974.5548146274,213161.185924,470206.45103729406,41992.01077449499,612966.5655891224,512198.4618117891,7
