date,market_state,realized,unrealized,total_pnl,active
2023-12-15,NORMAL,1024761.835092946,1465.8451953502517,1026227.6802882962,6
2023-12-18,NORMAL,1027537.3452970276,-5795.462820935936,1021741.8824760916,6
2023-12-19,NORMAL,1031216.8894565718,-26888.016584021912,1004328.8728725498,6
2023-12-20,NORMAL,1036579.9002598546,-98463.59262173713,938116.3076381175,6
2023-12-21,NORMAL,1036579.9002598546,-89120.02537283301,947459.8748870216,6
2023-12-22,NORMAL,1064925.4669824583,-58997.23207074238,1005928.2349117158,6
2023-12-26,NORMAL,1088003.7462928365,-52686.08043665532,1035317.6658561812,6
2023-12-27,NORMAL,1099089.3530341396,-52334.13175960624,1046755.2212745333,6
2023-12-28,NORMAL,1110291.4924179772,-48395.09082957725,1061896.4015884,6
2023-12-29,NORMAL,1110291.4924179772,-50190.381488242885,1060101.1109297343,6
2024-01-01,NORMAL,1121115.831353013,-51903.49316735144,1069212.3381856615,5
2024-01-02,NORMAL,1129030.7973394073,-53881.881047802686,1075148.9162916045,6
2024-01-03,NORMAL,1129030.7973394073,-82140.8353232544,1046889.9620161529,6
2024-01-04,NORMAL,1142441.270056578,-85854.95919281425,1056586.3108637638,6
2024-01-05,NORMAL,1142441.270056578,-89893.09994032315,1052548.170116255,6
2024-01-08,NORMAL,1142441.2700565779,-137925.39764491987,1004515.872411658,7
2024-01-09,NORMAL,1145524.0364964874,-149982.87415616165,995541.1623403258,7
2024-01-10,NORMAL,1145524.0364964874,-138200.175186573,1007323.8613099144,7
2024-01-11,NORMAL,1149524.0364964874,-135569.51941862065,1013954.5170778668,7
2024-01-12,NORMAL,1153266.327012232,-122494.36565364452,1030771.9613585875,7
2024-01-15,NORMAL,1191163.4365215488,-139309.00329507774,1051854.433226471,7
2024-01-16,NORMAL,1192496.7698548818,-153520.28868182062,1038976.4811730612,7
2024-01-17,NORMAL,1195830.1031882153,-204062.58552229003,991767.5176659252,8
2024-01-18,NORMAL,1197163.4365215488,-233149.26202203875,964014.1744995101,8
2024-01-19,NORMAL,1194867.332693404,-205811.49839129637,989055.8343021077,8
2024-01-20,NORMAL,1195311.7771378485,-231429.33073309655,963882.446404752,8
2024-01-23,NORMAL,1195645.1104711818,-297071.49666643614,898573.6138047457,9
2024-01-24,NORMAL,1196697.970065203,-253502.87827206918,943195.0917931339,9
2024-01-25,NORMAL,1197561.4621286949,-288525.41994640016,909036.0421822947,10
2024-01-29,NORMAL,1210857.1537386724,-266418.912120561,944438.2416181114,10
2024-01-30,NORMAL,1212699.746331265,-299984.2400546348,912715.5062766301,10
2024-01-31,NORMAL,1214030.2249512845,-243675.10566811124,970355.1192831732,10
2024-02-01,NORMAL,1222770.3610057062,-267937.7512663183,954832.6097393879,10
2024-02-02,NORMAL,1230039.3221726317,-247188.39734507873,982850.924827553,9
2024-02-05,NORMAL,1235231.924213448,-352646.9350215945,882584.9891918536,9
2024-02-06,NORMAL,956098.1352542156,-43366.85091401107,912731.2843402044,8
2024-02-07,NORMAL,971701.9035710722,-26781.83134281762,944920.0722282545,8
2024-02-08,NORMAL,973035.2369044054,-82207.3577822702,890827.8791221352,8
2024-02-09,NORMAL,973257.4591266277,-78776.36857088652,894481.0905557411,8
2024-02-12,NORMAL,981525.4435312737,-77432.14168100405,904093.3018502697,7
2024-02-13,NORMAL,981482.5533607804,-61379.61827709549,920102.9350836849,7
2024-02-14,NORMAL,983910.5709526568,-47391.11255593557,936519.4583967212,7
2024-02-15,NORMAL,981135.5784238182,-43398.284347192646,937737.2940766256,7
2024-02-16,NORMAL,986259.7518792086,-31797.041545325716,954462.7103338828,7
2024-02-19,NORMAL,988177.1791690326,-20766.518021055992,967410.6611479766,7
2024-02-20,NORMAL,988177.1791690326,-23190.550049082143,964986.6291199505,7
2024-02-21,NORMAL,991424.3846943938,-46220.99075085482,945203.393943539,7
2024-02-22,NORMAL,993150.9047602209,-32359.928904934874,960790.975855286,7
2024-02-23,NORMAL,993553.5572510917,-26011.40137555066,967542.155875541,7
