ts,broker,quote_asset,portfolio_value,portfolio_pnl,portfolio_pnl_pct,strategy_equity,strategy_realized,strategy_unrealized,strategy_total,drawdown_pct,exposure,exposure_pct
2026-03-23T06:40:09.212688+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:40:19.409751+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:40:29.606889+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:40:39.801705+00:00,fyers,INR,1561316.84925,65049.78925,0.04347471851047766833816417772,1953931.06,0,-112766.50,-112766.50,0.003138805119860429344112139901,1766745.6,0.9042005811607293862251209620
2026-03-23T06:40:50.008730+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:41:00.226894+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:41:10.437991+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:41:20.646604+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:41:30.844011+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:41:41.050374+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:41:51.252265+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
