cycle_num,buy_time,buy_price,sell_time,sell_price,qty,gross_pnl,cost,net_pnl
42,2026-04-07 04:15:00,2472.75,2026-04-07 04:15:00,2479.35,125,825.0,815.46,9.54
43,2026-04-07 04:00:00,2466.15,2026-04-07 04:15:00,2472.75,125,825.0,813.41,11.59
44,2026-04-07 04:30:00,2492.55,2026-04-07 04:30:00,2499.15,125,825.0,821.61,3.39
45,2026-04-07 04:45:00,2499.15,2026-04-07 04:45:00,2505.75,125,825.0,823.66,1.34
46,2026-04-07 05:00:00,2499.15,2026-04-07 05:00:00,2505.75,125,825.0,823.66,1.34
47,2026-04-07 05:30:00,2512.35,2026-04-07 05:30:00,2518.95,125,825.0,827.76,-2.76
48,2026-04-07 05:45:00,2525.55,2026-04-07 05:45:00,2532.15,125,825.0,831.85,-6.85
49,2026-04-07 06:00:00,2532.15,2026-04-07 06:00:00,2538.75,125,825.0,833.9,-8.9
50,2026-04-07 06:15:00,2532.15,2026-04-07 06:15:00,2538.75,125,825.0,833.9,-8.9
51,2026-04-07 06:30:00,2532.15,2026-04-07 09:15:00,2538.75,125,825.0,833.9,-8.9
52,2026-04-07 09:30:00,2538.75,2026-04-08 03:45:00,2545.35,125,825.0,835.95,-10.95
53,2026-04-08 03:45:00,2545.35,2026-04-08 04:00:00,2551.95,125,825.0,838.0,-13.0
54,2026-04-08 04:15:00,2551.95,2026-04-08 05:00:00,2558.55,125,825.0,840.05,-15.05
55,2026-04-08 05:15:00,2558.55,2026-04-08 05:30:00,2565.15,125,825.0,842.1,-17.1
56,2026-04-08 05:30:00,2558.55,2026-04-08 05:45:00,2565.15,125,825.0,842.1,-17.1
57,2026-04-08 06:00:00,2558.55,2026-04-08 06:00:00,2565.15,125,825.0,842.1,-17.1
58,2026-04-08 06:15:00,2558.55,2026-04-08 06:30:00,2565.15,125,825.0,842.1,-17.1
59,2026-04-08 06:45:00,2565.15,2026-04-09 03:45:00,2571.75,125,825.0,844.15,-19.15
60,2026-04-09 04:00:00,2558.55,2026-04-09 04:15:00,2565.15,125,825.0,842.1,-17.1
61,2026-04-09 04:30:00,2558.55,2026-04-09 04:45:00,2565.15,125,825.0,842.1,-17.1
62,2026-04-09 04:45:00,2558.55,2026-04-09 05:00:00,2565.15,125,825.0,842.1,-17.1
63,2026-04-09 05:30:00,2565.15,2026-04-09 05:45:00,2571.75,125,825.0,844.15,-19.15
64,2026-04-09 06:00:00,2578.35,2026-04-09 06:00:00,2584.95,125,825.0,848.24,-23.24
65,2026-04-09 06:15:00,2584.95,2026-04-09 06:15:00,2591.55,125,825.0,850.29,-25.29
66,2026-04-09 06:30:00,2591.55,2026-04-09 07:15:00,2598.15,125,825.0,852.34,-27.34
67,2026-04-07 05:15:00,2512.35,2026-04-10 04:00:00,2518.95,125,825.0,827.76,-2.76
68,2026-04-10 04:00:00,2512.35,2026-04-10 04:15:00,2518.95,125,825.0,827.76,-2.76
69,2026-04-10 04:45:00,2512.35,2026-04-10 08:00:00,2518.95,125,825.0,827.76,-2.76
70,2026-04-07 04:00:00,2472.75,2026-04-13 03:45:00,2479.35,125,825.0,815.46,9.54
71,2026-04-13 03:45:00,2479.35,2026-04-13 04:45:00,2485.95,125,825.0,817.51,7.49
72,2026-04-10 08:15:00,2525.55,2026-04-15 03:45:00,2532.15,125,825.0,831.85,-6.85
73,2026-04-15 04:00:00,2532.15,2026-04-15 04:00:00,2538.75,125,825.0,833.9,-8.9
74,2026-04-15 04:30:00,2545.35,2026-04-15 04:45:00,2551.95,125,825.0,838.0,-13.0
75,2026-04-15 04:45:00,2545.35,2026-04-15 09:00:00,2551.95,125,825.0,838.0,-13.0
