timestamp,equity,cash,inventory_qty,inventory_value,realized_pnl,unrealized_pnl
2026-04-27 07:45:00,958582.51,124012.51,165,834570.0,2660.17,-42475.95
2026-04-27 08:00:00,957592.51,124012.51,165,833580.0,2660.17,-43465.95
2026-04-27 08:15:00,958830.01,124012.51,165,834817.5,2660.17,-42228.45
2026-04-27 08:30:00,958005.01,124012.51,165,833992.5,2660.17,-43053.45
2026-04-27 08:45:00,957262.51,124012.51,165,833250.0,2660.17,-43795.95
2026-04-27 09:00:00,956025.01,124012.51,165,832012.5,2660.17,-45033.45
2026-04-27 09:15:00,957015.01,124012.51,165,833002.5,2660.17,-44043.45
2026-04-27 09:30:00,954787.51,124012.51,165,830775.0,2660.17,-46270.95
2026-04-27 09:45:00,957922.51,124012.51,165,833910.0,2660.17,-43135.95
2026-04-28 03:45:00,961140.01,124012.51,165,837127.5,2660.17,-39918.45
2026-04-28 04:00:00,965760.01,124012.51,165,841747.5,2660.17,-35298.45
2026-04-28 04:15:00,964935.01,124012.51,165,840922.5,2660.17,-36123.45
2026-04-28 04:30:00,961635.01,124012.51,165,837622.5,2660.17,-39423.45
2026-04-28 04:45:00,963367.51,124012.51,165,839355.0,2660.17,-37690.95
2026-04-28 05:00:00,960727.51,124012.51,165,836715.0,2660.17,-40330.95
2026-04-28 05:15:00,959820.01,124012.51,165,835807.5,2660.17,-41238.45
2026-04-28 05:30:00,960892.51,124012.51,165,836880.0,2660.17,-40165.95
2026-04-28 05:45:00,959160.01,124012.51,165,835147.5,2660.17,-41898.45
2026-04-28 06:00:00,959242.51,124012.51,165,835230.0,2660.17,-41815.95
2026-04-28 06:15:00,954870.01,124012.51,165,830857.5,2660.17,-46188.45
2026-04-28 06:30:00,955035.01,124012.51,165,831022.5,2660.17,-46023.45
2026-04-28 06:45:00,955695.01,124012.51,165,831682.5,2660.17,-45363.45
2026-04-28 07:00:00,957510.01,124012.51,165,833497.5,2660.17,-43548.45
2026-04-28 07:15:00,955777.51,124012.51,165,831765.0,2660.17,-45280.95
