cycle_num,buy_time,buy_price,sell_time,sell_price,qty,gross_pnl,cost,net_pnl
65,2026-04-17 04:30:00,5201.1,2026-04-17 04:30:00,5216.55,33,509.85,473.85,36.0
66,2026-04-17 04:45:00,5232.0,2026-04-17 04:45:00,5247.45,33,509.85,476.38,33.47
67,2026-04-17 04:15:00,5201.1,2026-04-17 06:30:00,5216.55,33,509.85,473.85,36.0
68,2026-04-17 06:30:00,5216.55,2026-04-17 07:30:00,5232.0,33,509.85,475.11,34.74
69,2026-04-17 07:30:00,5216.55,2026-04-17 08:00:00,5232.0,33,509.85,475.11,34.74
70,2026-04-17 08:00:00,5216.55,2026-04-17 09:00:00,5232.0,33,509.85,475.11,34.74
71,2026-04-17 09:30:00,5232.0,2026-04-20 03:45:00,5247.45,33,509.85,476.38,33.47
72,2026-04-17 05:15:00,5232.0,2026-04-20 04:00:00,5247.45,33,509.85,476.38,33.47
73,2026-04-20 04:15:00,5232.0,2026-04-20 04:15:00,5247.45,33,509.85,476.38,33.47
74,2026-04-20 04:30:00,5262.9,2026-04-20 04:30:00,5278.35,33,509.85,478.91,30.94
75,2026-04-20 04:00:00,5247.45,2026-04-20 04:30:00,5262.9,33,509.85,477.65,32.2
76,2026-04-20 04:45:00,5278.35,2026-04-20 05:00:00,5293.8,33,509.85,480.18,29.67
77,2026-04-20 05:15:00,5278.35,2026-04-20 06:15:00,5293.8,33,509.85,480.18,29.67
78,2026-04-20 05:00:00,5278.35,2026-04-20 06:30:00,5293.8,33,509.85,480.18,29.67
79,2026-04-20 06:45:00,5293.8,2026-04-20 07:15:00,5309.25,33,509.85,481.45,28.4
80,2026-04-20 07:30:00,5278.35,2026-04-20 08:45:00,5293.8,33,509.85,480.18,29.67
81,2026-04-20 09:45:00,5262.9,2026-04-21 03:45:00,5278.35,33,509.85,478.91,30.94
82,2026-04-21 04:30:00,5293.8,2026-04-21 06:45:00,5309.25,33,509.85,481.45,28.4
83,2026-04-17 05:00:00,5232.0,2026-04-22 07:15:00,5247.45,33,509.85,476.38,33.47
84,2026-04-22 07:15:00,5232.0,2026-05-06 04:00:00,5247.45,33,509.85,476.38,33.47
85,2026-05-06 04:15:00,5247.45,2026-05-06 04:30:00,5262.9,33,509.85,477.65,32.2
86,2026-05-06 04:30:00,5247.45,2026-05-06 05:00:00,5262.9,33,509.85,477.65,32.2
87,2026-05-06 05:15:00,5046.6,2026-05-06 06:00:00,5062.05,33,509.85,461.19,48.66
88,2026-05-06 06:30:00,5062.05,2026-05-06 06:30:00,5077.5,33,509.85,462.45,47.4
89,2026-05-06 06:45:00,5077.5,2026-05-06 07:30:00,5092.95,33,509.85,463.72,46.13
90,2026-05-06 07:45:00,5092.95,2026-05-06 08:00:00,5108.4,33,509.85,464.99,44.86
91,2026-05-06 08:00:00,5092.95,2026-05-06 08:45:00,5108.4,33,509.85,464.99,44.86
92,2026-05-06 09:00:00,5123.85,2026-05-06 09:00:00,5139.3,33,509.85,467.52,42.33
93,2026-05-06 09:15:00,5139.3,2026-05-06 09:15:00,5154.75,33,509.85,468.78,41.07
94,2026-05-06 09:45:00,5170.2,2026-05-06 09:45:00,5185.65,33,509.85,471.32,38.53
95,2026-04-21 07:00:00,5293.8,2026-05-07 03:45:00,5309.25,33,509.85,481.45,28.4
96,2026-05-07 03:45:00,5201.1,2026-05-07 03:45:00,5216.55,33,509.85,473.85,36.0
97,2026-05-07 04:00:00,5324.7,2026-05-07 04:00:00,5340.15,33,509.85,483.98,25.87
98,2026-05-07 04:00:00,5309.25,2026-05-07 04:00:00,5324.7,33,509.85,482.71,27.14
99,2026-04-20 06:30:00,5293.8,2026-05-07 04:00:00,5309.25,33,509.85,481.45,28.4
100,2026-04-16 03:45:00,5293.8,2026-05-07 04:15:00,5309.25,33,509.85,481.45,28.4
101,2026-05-07 04:30:00,5309.25,2026-05-07 04:30:00,5324.7,33,509.85,482.71,27.14
102,2026-05-07 04:15:00,5309.25,2026-05-07 04:45:00,5324.7,33,509.85,482.71,27.14
103,2026-05-07 05:00:00,5324.7,2026-05-07 05:00:00,5340.15,33,509.85,483.98,25.87
104,2026-05-07 04:45:00,5324.7,2026-05-07 05:15:00,5340.15,33,509.85,483.98,25.87
105,2026-05-07 04:15:00,5324.7,2026-05-07 05:30:00,5340.15,33,509.85,483.98,25.87
106,2026-05-07 06:00:00,5340.15,2026-05-07 06:15:00,5355.6,33,509.85,485.24,24.61
107,2026-05-07 06:30:00,5401.95,2026-05-07 06:30:00,5417.4,33,509.85,490.31,19.54
108,2026-05-07 06:45:00,5432.85,2026-05-07 06:45:00,5448.3,33,509.85,492.84,17.01
109,2026-05-07 05:45:00,5340.15,2026-05-07 09:15:00,5355.6,33,509.85,485.24,24.61
110,2026-05-07 05:30:00,5340.15,2026-05-07 09:45:00,5355.6,33,509.85,485.24,24.61
111,2026-05-07 09:15:00,5355.6,2026-05-08 04:15:00,5371.05,33,509.85,486.51,23.34
112,2026-05-07 05:15:00,5340.15,2026-05-08 04:15:00,5355.6,33,509.85,485.24,24.61
113,2026-05-08 04:45:00,5371.05,2026-05-08 04:45:00,5386.5,33,509.85,487.78,22.07
114,2026-05-08 05:15:00,5371.05,2026-05-08 05:15:00,5386.5,33,509.85,487.78,22.07
